["Date", "Time", "Duration", "Set"]

Examples:
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-29", "10:00:00", "10:00:00", "Set"]
["2016-09-2
