[
  ["Homem", "Person"],
  ["morre", "Death"],
  ["esfaqueado", "Injury"],
  ["nas", "Injury"],
  ["costas", "Injury"],
  ["junto", "Injury"],
  ["mercado", "Location"],
  ["Arroios", "Location"],
  ["em", "Location"],
  ["Lisboa", "Location"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["Lisboa", "Event"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["Lisboa", "Event"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["Lisboa", "Event"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["Lisboa", "Event"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["Lisboa", "Event"],
  ["sequência", "Event"],
  ["depois", "Event"],
  ["de", "Event"],
  ["ter", "Event"],
  ["esfaqueado", "Event"],
  ["nas", "Event"],
  ["costas", "Event"],
  ["junto", "Event"],
  ["mercado", "Event"],
  ["Arroios", "Event"],
  ["em", "Event"],
  ["
