[
  ["Homem", "State"],
  ["garrafa", "Perception"],
  ["restaurante", "Aspectual"],
  ["Palmela", "Aspectual"],
  ["Setúbal", "Aspectual"],
  ["Cajados", "Aspectual"],
  ["concelho", "Aspectual"],
  ["proprietário", "Intensional Action"],
  ["estabelecimento", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "IntensionalAction"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa", "Intensional Action"],
  ["garrafa
