[
  ["GNR", "State"],
  ["Apreendeu", "Occurrence"],
  ["390", "Aspectual"],
  ["quilogramas", "Intensional State"],
  ["atum-rabilho", "Intensional State"],
  ["captura", "Intensional State"],
  ["interdita", "Intensional State"],
  ["coima", "Intensional State"],
  ["37.500", "Intensional State"],
  ["euros", "Intensional State"],
  ["porto", "Intensional State"],
  ["pesca", "Intensional State"],
  ["costeira", "Intensional State"],
  ["Gafanha", "Intensional State"],
  ["da", "Intensional State"],
  ["Nazaré", "Intensional State"],
  ["Aveiro", "Intensional State"],
  ["revelou", "Intensional State"],
  ["hoje", "Intensional State"],
  ["em", "Intensional State"],
  ["comunicado", "Intensional State"],
  ["a", "Intensional State"],
  ["Guarda", "Intensional State"],
  ["a", "Intensional State"],
  ["apreensão", "Intensional State"],
  ["ocorreu", "Intensional State"],
  ["na", "Intensional State"],
  ["segunda-feira", "Intensional State"],
  ["durante", "Intensional State"],
  ["uma", "Intensional State"],
  ["ação", "Intensional State"],
  ["fiscalização", "Intensional State"],
  ["com", "Intensional State"],
  ["cumprimento", "Intensional State"],
  ["regras", "Intensional State"],
  ["descarga", "Intensional State"],
  ["transporte", "Intensional State"],
  ["comercialização", "Intensional State"],
  ["regime", "Intensional State"],
  ["primeira", "Intensional State"],
  ["venda", "Intensional State"],
  ["pescado", "Intensional State"],
  ["fresco", "Intensional State"],
  ["refere", "Intensional State"],
  ["a", "Intensional State"],
  ["nota", "Intensional State"],
  ["imprensa", "Intensional State"],
  ["durante", "Intensional State"],
  ["a", "Intensional State"],
  ["encontraram", "Intensional State"],
  ["77", "Intensional State"],
  ["quilos", "Intensional State"],
  ["atum-rabilho", "Intensional State"],
  ["acabando", "Intensional State"],
  ["nos", "Intensional State"],
  ["seguimento", "Intensional State"],
  ["diligências", "Intensional State"],
  ["localizar", "Intensional State"],
  ["a", "Intensional State"],
  ["embarcação", "Intensional State"],
  ["responsável", "Intensional State"],
  ["mestre", "Intensional State"],
  ["doado", "Intensional State"],
  ["instituição", "Intensional State"],
  ["solidariedade",
