"[
  ["Homem", "State"],
  ["Prisão", "Reporting"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspectual"],
  ["MP", "Aspect
