[
  ["GNR", "State"],
  ["Aveiro", "Location"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho","Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabilho", "Object"],
  ["390 quilogramas de atum-rabil
