[
  ["Homem", "State"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["anos", "Aspectual"],
  ["morre", "Occurrence"],
  ["em", "Aspectual"],
  ["acidente", "Occurrence"],
  ["de", "Aspectual"],
  ["trabalho", "Occurrence"],
  ["em", "Aspectual"],
  ["Mogadouro", "Aspectual"],
  ["Um", "Aspectual"],
  ["homem", "Aspectual"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["morreu", "Occurrence"],
  ["hoje", "Aspectual"],
  ["vítima", "Aspectual"],
  ["de", "Aspectual"],
  ["um", "Aspectual"],
  ["acidente", "Occurrence"],
  ["de", "Aspectual"],
  ["trabalho", "Occurrence"],
  ["na", "Aspectual"],
  ["localidade", "Aspectual"],
  ["de", "Aspectual"],
  ["Vilarinhos", "Aspectual"],
  ["dos", "Aspectual"],
  ["Galegos", "Aspectual"],
  ["Concelho", "Aspectual"],
  ["de", "Aspectual"],
  ["Mogadouro", "Aspectual"],
  ["distrito", "Aspectual"],
  ["de", "Aspectual"],
  ["Bragança", "Aspectual"],
  ["disse", "Reporting"],
  ["à", "Aspectual"],
  ["Lusa", "Aspectual"],
  ["fonte", "Aspectual"],
  ["dos", "Aspectual"],
  ["bombeiros", "Aspectual"],
  ["'", "Quotation"],
  ["Trata-se", "Aspectual"],
  ["de", "Aspectual"],
  ["um", "Aspectual"],
  ["acidente", "Occurrence"],
 ["que", "Aspectual"],
  ["envolve", "Aspectual"],
  ["uma", "Aspectual"],
  ["queda", "Aspectual"],
  ["em", "Aspectual"],
  ["altura", "Aspectual"],
  ["o", "Aspectual"],
  ["homem", "Aspectual"],
  ["de", "Aspectual"],
  ["48", "Aspectual"],
  ["anos", "Aspectual"],
  ["trabalhava", "Aspectual"],
  ["numa", "Aspectual"],
  ["obra", "Aspectual"],
  ["de", "Aspectual"],
  ["construção", "Aspectual"],
  ["civil", "Aspectual"],
  ["A", "Aspectual"],
  ["vítima", "Aspectual"],
  ["acabaria", "Aspectual"],
  ["por", "Aspectual"],
  ["resistir", "Aspectual"],
  ["os", "Aspectual"],
