[
  ["Homem", "State"],
  ["mata", "Occurrence"],
  ["ex-companheira", "Aspectual"],
  ["com", "Perception"],
  ["tiro", "Occurrence"],
  ["em", "Perception"],
  ["Vila Nova de Gaia", "Aspectual"],
  ["Um homem", "Intensional Action"],
  ["matou", "Occurrence"],
  ["hoje", "Aspectual"],
  ["com", "Perception"],
  ["um disparo de arma de fogo", "Occurrence"],
  ["a ex-companheira", "Aspectual"],
  ["e foi detido", "Occurrence"],
  ["numa altura", "Aspectual"],
  ["em que estaria", "Aspectual"],
  ["a tentar", "Intensional Action"],
  ["o suicídio", "Occurrence"],
  ["com a mesma arma", "Aspectual"],
  ["dito", "Perception"],
  ["fonte da GNR","Aspectual"],
  ["Fonte do Comando Territorial da GNR do Porto", "Aspectual"],
  ["referiu à agência Lusa", "Perception"],
  ["que o crime", "Aspectual"],
  ["ocorreu", "Occurrence"],
  ["cerca das 10:30", "Aspectual"],
  ["na Rua da Figueirinha", "Aspectual"],
  ["em Grijó", "Aspectual"],
  ["Vila Nova de Gaia", "Aspectual"],
  ["distrito do Porto", "Aspectual"],
  ["e que o homem", "Aspectual"],
  ["tem 62 anos", "Aspectual"],
  ["A vítima", "Aspectual"],
  ["era 20 anos mais nova", "Aspectual"],
  ["A fonte", "Aspectual"],
  ["admitiu", "Occurrence"],
  ["que o homem", "Aspectual"],
  ["tenha cometido", "Occurrence"],
  ["ocrime", "Aspectual"],
  ["em retaliação", "Aspectual"],
  ["por a mulher", "Aspectual"],
  ["ter optado", "Occurrence"],
  ["por a relação", "Aspectual"],
  ["que ambos", "Aspectual"],
  ["mantiveram", "Occurrence"],
  ["durante 10 anos", "Aspectual"],
  ["O caso", "Aspectual"],
  ["passou para a alçada", "Aspectual"],
  ["da Polícia Judiciária", "Aspectual"]
]
