[
  ["Homem", "State"],
  ["morre", "Occurrence"],
  ["após", "Reporting"],
  ["ser", "Perception"],
  ["esfaqueado", "Aspectual"],
  ["nas", "Intensional Action"],
  ["costas", "Intensional State"],
  ["junto", "Intensional Action"],
  ["ao", "Intensional Action"],
  ["mercado", "Intensional State"],
  ["de", "Intensional Action"],
  ["Arroios", "Intensional State"],
  ["em", "Intensional Action"],
  ["Lisboa", "Intensional State"],
  ["Um", "Intensional Action"],
  ["homem", "Intensional State"],
  ["de", "Intensional Action"],
  ["29", "Intensional State"],
  ["anos", "Intensional State"],
  ["morreu", "Occurrence"],
  ["hoje", "Reporting"],
  ["depois", "Reporting"],
  ["de", "Intensional Action"],
  ["ter", "Intensional Action"],
  ["havido", "Intensional Action"],
  ["esfaqueamento", "Aspectual"],
  ["terá", "Intensional Action"],
  ["ocorrido", "Aspectual"],
  ["na", "Intensional Action"],
  ["sequência", "Aspectual"],
  ["de", "Intensional Action"],
  ["um", "Intensional Action"],
  ["desentendimento", "Aspectual"],
  ["informou", "Reporting"],
  ["à", "Intensional Action"],
  ["agência", "Intensional State"],
  ["Lusa", "Intensional State"],
  ["PSP", "Intensional State"],
  ["De", "Intensional Action"],
  ["acordo", "Aspectual"],
  ["com", "Intensional Action"],
  ["Comando", "Intensional State"],
  ["Metropolitano", "Intensional State"],
  ["Lisboa", "Intensional State"],
  ["Cometlis", "Intensional State"],
  ["o", "Intensional Action"],
  ["esfaqueamento", "Aspectual"],
  ["terá", "Intensional Action"],
  ["ocorrido", "Aspectual"],
  ["na", "Intensional Action"],
  ["rua", "Intensional State"],
  ["Ângela", "Intensional State"],
  ["Pinto", "Intensional State"],
  ["pelas", "Intensional Action"],
  ["10", "Intensional State"],
  ["54", "Intensional State"],
  ["tendo", "Intensional Action"],
  ["o", "Intensional Action"],
  ["óbito", "Aspectual"],
  ["declarado", "Aspectual"],
  ["dentro", "Intensional Action"],
  ["um", "Intensional Action"],
  ["café", "Intensional State"],
  ["onde", "Intensional Action"],
  ["a", "Intensional Action"],
  ["vítima", "Intensional State"],
  ["terá", "Intensional Action"],
  ["idado", "Aspectual"],
  ["pedir", "Aspectual
