[
  ["Date", "Time"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
 ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:00"],
  ["2019-07-11", "12:00:
